## FlyBase FBgn-Annotation ID Correspondence Table
## Generated: Tue Feb 12 18:22:10 2019
## Using datasource: dbi:Pg:dbname=fb_2019_01_reporting;host=flysql20;port=5432...

##gene_symbol	organism_abbreviation	primary_FBgn#	secondary_FBgn#(s)	annotation_ID	secondary_annotation_ID(s)
d	Dmel	FBgn0000001	FBgn0000012	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000002	FBgn0000013	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000003	FBgn0000014	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000004	FBgn0000015	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000005	FBgn0000016	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000006	FBgn0000017	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000007	FBgn0000018	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000008	FBgn0000019	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000009	FBgn0000020	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000010	FBgn0000021	CG42840	CG10595,CG13087,CG31610
d	Dmel	FBgn0000011	FBgn0000022	CG42840	CG10595,CG13087,CG31610
